iter	MultiClass
0	0.9832091548
1	0.8949168435
2	0.8266157713
3	0.7706912363
4	0.7241908587
5	0.6857755886
6	0.6533071733
7	0.6249384754
8	0.6010891793
9	0.5798397833
10	0.5617840479
11	0.5470850311
12	0.5335494128
13	0.5221288648
14	0.5116099851
15	0.5023982154
16	0.4942069738
17	0.4877251098
18	0.4815039049
19	0.4765470625
20	0.4716036669
21	0.4671294023
22	0.4633473129
23	0.4601271175
24	0.4578191569
25	0.4549052225
26	0.4524335688
27	0.4502469897
28	0.4482808072
29	0.4469766988
30	0.4455673502
31	0.4440115666
32	0.4421545123
33	0.4409948683
34	0.4401295659
35	0.4388047433
36	0.4382052109
37	0.4375598487
38	0.4366341715
39	0.4357206101
40	0.4350258683
41	0.4341995961
42	0.4336521521
43	0.4333187872
44	0.4327742409
45	0.4322458665
46	0.4317194318
47	0.4312752425
48	0.4308455087
49	0.4304575294
50	0.4300012943
51	0.4296290494
52	0.4293573741
53	0.4291234277
54	0.428796526
55	0.4285661566
56	0.4282841351
57	0.4279412406
58	0.4276682455
59	0.4275245656
60	0.4271690565
61	0.427035789
62	0.4268977361
63	0.4267627922
64	0.4266020899
65	0.4264019856
66	0.426220271
67	0.4261321267
68	0.4260386589
69	0.4258988248
70	0.4257246965
71	0.4256038768
72	0.4255163579
73	0.4252866899
74	0.4252035692
75	0.4250354213
76	0.4249166285
77	0.4248308013
78	0.4246919494
79	0.42460627
80	0.4243706703
81	0.424175591
82	0.4241284668
83	0.4240018508
84	0.4239117422
85	0.4237951581
86	0.4236853425
87	0.4236316084
88	0.4234955569
89	0.4232524575
90	0.4230650297
91	0.4229552774
92	0.4229066421
93	0.4228376355
94	0.422776992
95	0.4226899514
96	0.4226540217
97	0.422551982
98	0.4224516102
99	0.4223603188
100	0.4222756784
101	0.4222063132
102	0.4221799434
103	0.4221216524
104	0.4220823541
105	0.421949984
106	0.4218927835
107	0.4217527791
108	0.4217345409
109	0.4217005858
110	0.4215651774
111	0.4215136663
112	0.4214510927
113	0.4213596549
114	0.4212149408
115	0.4211279768
116	0.4210167112
117	0.4209725974
118	0.4209546994
119	0.4208923289
120	0.4207887142
121	0.4206662288
122	0.4206224146
123	0.4205923848
124	0.4205033879
125	0.4204154104
126	0.4203754166
127	0.4203514204
128	0.4202716863
129	0.4202269237
130	0.4201840655
131	0.4200999788
132	0.4199671925
133	0.419909476
134	0.4197474614
135	0.4196354253
136	0.4195302992
137	0.4194600558
138	0.4193628749
139	0.4193325551
140	0.4192855864
141	0.4192565581
142	0.4192455657
143	0.4192157428
144	0.4191927964
145	0.4191145095
146	0.419060777
147	0.4189983758
148	0.4188928556
149	0.4187356303
150	0.4187019378
151	0.4186830711
152	0.4185890387
153	0.418520093
154	0.4184930005
155	0.4184677602
156	0.4183555289
157	0.4183178818
158	0.4182095394
159	0.4181902228
160	0.4181769262
161	0.4181616095
162	0.4181422789
163	0.4181116143
164	0.4180640848
165	0.4180456034
166	0.4179881827
167	0.4179616223
168	0.4178610146
169	0.4177243208
170	0.4177015243
171	0.4176728802
172	0.4176410715
173	0.4175867355
174	0.4175426399
175	0.4174819715
176	0.4174465649
177	0.4173536786
178	0.4173002269
179	0.4172488519
180	0.4172164856
181	0.4171911663
182	0.4171467036
183	0.4171123567
184	0.4170873814
185	0.4170071547
186	0.4169934853
187	0.4169387849
188	0.4169187922
189	0.4168923955
190	0.4167821638
191	0.4166769585
192	0.4166463445
193	0.416600132
194	0.41658415
195	0.4165588835
196	0.4165298038
197	0.4165227701
198	0.4165085137
199	0.4164678897
200	0.416440035
201	0.4164230219
202	0.4164042297
203	0.4163601578
204	0.4163197435
205	0.4162805305
206	0.4162368748
207	0.4161777771
208	0.4161586716
209	0.4160703056
210	0.4160522595
211	0.4159559622
212	0.4159123765
213	0.4159030554
214	0.4158767805
215	0.4158422677
216	0.4157452648
217	0.4157321131
218	0.4157100294
219	0.4156566651
220	0.4156490178
221	0.4156013521
222	0.4155527531
223	0.415499036
224	0.4154643172
225	0.415416372
226	0.4153736559
227	0.4153158764
228	0.4153077609
229	0.4152761069
230	0.4152163568
231	0.4152090452
232	0.4151875835
233	0.4151277421
234	0.4150705828
235	0.4150219492
236	0.4149858963
237	0.4149704273
238	0.4149346953
239	0.4148881432
240	0.4148758037
241	0.4148002351
242	0.4147787203
243	0.4147459784
244	0.4147150964
245	0.4146896016
246	0.4146651984
247	0.4146022261
248	0.4145018584
249	0.4144517718
250	0.4144483127
251	0.4144112573
252	0.4143568485
253	0.4143299012
254	0.4143182275
255	0.4142547781
256	0.4142400112
257	0.4142237293
258	0.4142094204
259	0.4141883583
260	0.4141762629
261	0.4141691237
262	0.4141511011
263	0.4140875089
264	0.4140367407
265	0.4140071649
266	0.4139650685
267	0.4139551178
268	0.4139355445
269	0.4139025405
270	0.4138827295
271	0.4138445352
272	0.4138282833
