iter	Passed	Remaining
0	97	97879
1	145	72755
2	201	66959
3	269	67132
4	316	62976
5	366	60748
6	423	60017
7	493	61186
8	541	59627
9	590	58421
10	645	58031
11	707	58237
12	756	57447
13	803	56560
14	861	56579
15	928	57129
16	987	57094
17	1033	56388
18	1097	56669
19	1215	59539
20	1393	64985
21	1491	66311
22	1563	66429
23	1631	66341
24	1687	65815
25	1736	65069
26	1787	64416
27	1843	63992
28	1910	63966
29	1958	63322
30	2005	62693
31	2063	62433
32	2139	62680
33	2222	63143
34	2338	64487
35	2425	64950
36	2524	65713
37	2666	67499
38	2807	69170
39	2929	70315
40	3033	70949
41	3154	71953
42	3241	72146
43	3312	71969
44	3416	72514
45	3580	74264
46	3717	75380
47	3834	76044
48	3978	77211
49	4105	78000
50	4239	78884
51	4324	78841
52	4379	78255
53	4428	77575
54	4516	77607
55	4619	77863
56	4754	78660
57	4875	79183
58	4942	78831
59	5013	78546
60	5066	77995
61	5111	77333
62	5163	76790
63	5242	76667
64	5371	77259
65	5512	78005
66	5625	78334
67	5716	78350
68	5780	77996
69	5844	77645
70	5900	77210
71	5987	77168
72	6065	77026
73	6132	76738
74	6177	76188
75	6244	75924
76	6305	75588
77	6352	75092
78	6401	74633
79	6447	74141
80	6529	74082
81	6578	73648
82	6622	73170
83	6681	72863
84	6749	72654
85	6799	72268
86	6846	71854
87	6904	71559
88	6971	71359
89	7021	70996
90	7070	70632
91	7129	70360
92	7194	70166
93	7247	69854
94	7318	69716
95	7417	69846
96	7490	69730
97	7537	69377
98	7586	69041
99	7648	68833
100	7716	68681
101	7771	68422
102	7876	68591
103	8009	69007
104	8110	69130
105	8217	69306
106	8298	69254
107	8372	69149
108	8477	69294
109	8609	69661
110	8718	69823
111	8811	69862
112	8902	69882
113	8972	69730
114	9023	69438
115	9096	69324
116	9204	69466
117	9336	69785
118	9463	70065
119	9528	69872
120	9617	69862
121	9688	69723
122	9748	69506
123	9809	69297
124	9933	69532
125	10052	69732
126	10119	69561
127	10205	69523
128	10278	69402
129	10342	69218
130	10464	69419
131	10589	69634
132	10690	69687
133	10772	69617
134	10866	69627
135	11039	70133
136	11138	70165
137	11268	70387
138	11372	70442
139	11436	70250
140	11495	70033
141	11558	69837
142	11598	69511
143	11646	69230
144	11700	68991
145	11794	68988
146	11915	69142
147	12017	69182
148	12137	69322
149	12241	69367
150	12375	69581
151	12468	69562
152	12557	69515
153	12638	69429
154	12708	69282
155	12769	69088
156	12854	69023
157	12945	68985
158	13063	69098
159	13144	69007
160	13215	68869
161	13278	68685
162	13347	68539
163	13400	68308
164	13448	68055
165	13505	67854
166	13562	67648
167	13607	67388
168	13663	67185
169	13763	67197
170	13869	67240
171	13952	67166
172	14037	67103
173	14105	66959
174	14171	66808
175	14291	66912
176	14403	66971
177	14474	66842
178	14554	66756
179	14610	66559
180	14667	66366
181	14740	66251
182	14880	66433
183	14961	66350
184	15024	66187
185	15078	65987
186	15148	65860
187	15194	65627
188	15237	65384
189	15281	65147
190	15325	64913
191	15387	64754
192	15431	64525
193	15472	64281
194	15510	64031
195	15549	63783
196	15591	63553
197	15644	63369
198	15686	63140
199	15725	62903
200	15766	62675
201	15824	62515
202	15867	62295
203	15906	62067
204	15947	61846
205	15989	61630
206	16038	61440
207	16094	61283
208	16138	61078
209	16191	60910
210	16294	60932
211	16394	60938
212	16447	60771
213	16493	60580
214	16564	60480
